"row_id","bucket","snapnum","M","_count_*_"
1,82,0,82,21
2,84,0,84,32
3,85,0,85,37
4,86,0,86,45
5,87,0,87,29
6,88,0,88,64
7,89,0,89,54
8,90,0,90,65
9,91,0,91,59
10,92,0,92,34
11,93,0,93,16
6813,94,0,94,4
12,95,0,95,3
6730,96,0,96,2
13,10082,1,82,177
6911,10083,1,83,2
14,10084,1,84,237
15,10085,1,85,296
16,10086,1,86,297
17,10087,1,87,279
18,10088,1,88,569
19,10089,1,89,482
20,10090,1,90,635
21,10091,1,91,460
22,10092,1,92,355
23,10093,1,93,231
24,10094,1,94,98
25,10095,1,95,42
26,10096,1,96,16
6731,10097,1,97,5
27,10098,1,98,4
6997,10099,1,99,1
28,20082,2,82,955
29,20083,2,83,16
30,20084,2,84,1409
31,20085,2,85,1649
32,20086,2,86,1663
33,20087,2,87,1662
34,20088,2,88,2944
35,20089,2,89,2680
36,20090,2,90,3553
37,20091,2,91,2839
38,20092,2,92,2277
39,20093,2,93,1448
40,20094,2,94,593
41,20095,2,95,365
42,20096,2,96,169
43,20097,2,97,84
44,20098,2,98,33
6814,20099,2,99,10
6732,20100,2,100,5
6977,20101,2,101,1
7012,20102,2,102,1
45,30082,3,82,3709
46,30083,3,83,82
47,30084,3,84,4921
48,30085,3,85,5896
49,30086,3,86,5908
50,30087,3,87,5954
51,30088,3,88,10804
52,30089,3,89,10090
53,30090,3,90,13600
54,30091,3,91,11319
55,30092,3,92,9845
56,30093,3,93,6645
57,30094,3,94,2963
58,30095,3,95,1890
59,30096,3,96,926
60,30097,3,97,441
61,30098,3,98,235
62,30099,3,99,110
63,30100,3,100,42
64,30101,3,101,24
65,30102,3,102,6
6878,30103,3,103,4
6938,30104,3,104,1
66,40082,4,82,9973
67,40083,4,83,289
68,40084,4,84,13593
69,40085,4,85,15632
70,40086,4,86,15922
71,40087,4,87,16578
72,40088,4,88,30058
73,40089,4,89,28018
74,40090,4,90,40002
75,40091,4,91,33945
76,40092,4,92,30282
77,40093,4,93,22340
78,40094,4,94,10451
79,40095,4,95,7123
80,40096,4,96,3752
81,40097,4,97,1962
82,40098,4,98,1082
83,40099,4,99,536
84,40100,4,100,261
85,40101,4,101,125
86,40102,4,102,48
87,40103,4,103,27
